Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Strona Główna,Firefox 84.0,,,2021-01-28 17:41:09,2021-01-28 17:43:19,"2m - 9,756s",FAILED
,,,,,,,
Test Cases/Strona Główna/Test Nawigacji,Firefox 84.0,,,2021-01-28 17:41:11,2021-01-28 17:41:54,"43,127s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-28 17:41:12,2021-01-28 17:41:19,"7,362s",PASSED
maximizeWindow(),Firefox 84.0,,,2021-01-28 17:41:19,2021-01-28 17:41:20,"0,314s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-28 17:41:20,2021-01-28 17:41:32,"12,916s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Firefox 84.0,,,2021-01-28 17:41:32,2021-01-28 17:41:33,"0,744s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Firefox 84.0,,,2021-01-28 17:41:33,2021-01-28 17:41:37,"3,671s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:41:37,2021-01-28 17:41:37,"0,180s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Firefox 84.0,,,2021-01-28 17:41:37,2021-01-28 17:41:37,"0,119s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Firefox 84.0,,,2021-01-28 17:41:37,2021-01-28 17:41:41,"4,005s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:41:41,2021-01-28 17:41:41,"0,044s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Firefox 84.0,,,2021-01-28 17:41:41,2021-01-28 17:41:41,"0,169s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Firefox 84.0,,,2021-01-28 17:41:41,2021-01-28 17:41:45,"3,475s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:41:45,2021-01-28 17:41:45,"0,027s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Firefox 84.0,,,2021-01-28 17:41:45,2021-01-28 17:41:45,"0,027s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_O nas - Aptekarska Szkoa Zarzdzania/span_Kontakt""))",Firefox 84.0,,,2021-01-28 17:41:45,2021-01-28 17:41:49,"4,324s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:41:49,2021-01-28 17:41:49,"0,026s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/kontakt/"")",Firefox 84.0,,,2021-01-28 17:41:49,2021-01-28 17:41:49,"0,029s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Firefox 84.0,,,2021-01-28 17:41:49,2021-01-28 17:41:53,"3,635s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:41:53,2021-01-28 17:41:53,"0,024s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Firefox 84.0,,,2021-01-28 17:41:53,2021-01-28 17:41:53,"0,036s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-28 17:41:53,2021-01-28 17:41:54,"1,197s",PASSED
,,,,,,,
Test Cases/Strona Główna/Test Przewijania Strony,Firefox 84.0,,,2021-01-28 17:41:54,2021-01-28 17:42:13,"18,779s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-28 17:41:55,2021-01-28 17:42:00,"5,053s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-28 17:42:00,2021-01-28 17:42:06,"5,982s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Akceptuj wszystko""))",Firefox 84.0,,,2021-01-28 17:42:06,2021-01-28 17:42:09,"3,731s",PASSED
"scrollToElement(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia dla Farmacji/img_Uczestniczka webinaru_preload-me""), 0)",Firefox 84.0,,,2021-01-28 17:42:09,2021-01-28 17:42:10,"1,118s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/a_Do gry""))",Firefox 84.0,,,2021-01-28 17:42:10,2021-01-28 17:42:12,"1,518s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-28 17:42:12,2021-01-28 17:42:13,"0,980s",PASSED
,,,,,,,
Test Cases/Strona Główna/Test Przycisków,Firefox 84.0,,,2021-01-28 17:42:13,2021-01-28 17:43:19,"1m - 6,159s",FAILED
"openBrowser("""")",Firefox 84.0,,,2021-01-28 17:42:13,2021-01-28 17:42:18,"4,926s",PASSED
maximizeWindow(),Firefox 84.0,,,2021-01-28 17:42:18,2021-01-28 17:42:19,"0,268s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-28 17:42:19,2021-01-28 17:42:23,"4,781s",PASSED
