Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kontakt,Firefox 84.0,,,2021-01-28 17:46:05,2021-01-28 17:47:06,"1m - 0,964s",PASSED
,,,,,,,
Test Cases/Kontakt/Test Nawigacji - Podstrony Kontakt,Firefox 84.0,,,2021-01-28 17:46:06,2021-01-28 17:46:48,"42,032s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-28 17:46:07,2021-01-28 17:46:13,"5,897s",PASSED
maximizeWindow(),Firefox 84.0,,,2021-01-28 17:46:13,2021-01-28 17:46:13,"0,341s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/kontakt/"")",Firefox 84.0,,,2021-01-28 17:46:13,2021-01-28 17:46:22,"8,862s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Firefox 84.0,,,2021-01-28 17:46:22,2021-01-28 17:46:23,"0,854s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Firefox 84.0,,,2021-01-28 17:46:23,2021-01-28 17:46:26,"3,532s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:46:26,2021-01-28 17:46:27,"0,143s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Firefox 84.0,,,2021-01-28 17:46:27,2021-01-28 17:46:27,"0,090s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Firefox 84.0,,,2021-01-28 17:46:27,2021-01-28 17:46:32,"4,902s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:46:32,2021-01-28 17:46:32,"0,132s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Firefox 84.0,,,2021-01-28 17:46:32,2021-01-28 17:46:32,"0,040s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Firefox 84.0,,,2021-01-28 17:46:32,2021-01-28 17:46:36,"4,014s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:46:36,2021-01-28 17:46:36,"0,039s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Firefox 84.0,,,2021-01-28 17:46:36,2021-01-28 17:46:36,"0,033s",PASSED
"click(findTestObject(""SPY - NAWIGACJA STRONA GŁOWNA BUTTON/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/img_Szkolenia cige dla farmaceutw, farmacji, farmaceutyczne  Aptekarska.pl_preload-me""))",Firefox 84.0,,,2021-01-28 17:46:36,2021-01-28 17:46:40,"4,168s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:46:40,2021-01-28 17:46:40,"0,027s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-28 17:46:40,2021-01-28 17:46:40,"0,091s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Firefox 84.0,,,2021-01-28 17:46:40,2021-01-28 17:46:47,"6,791s",PASSED
getUrl(),Firefox 84.0,,,2021-01-28 17:46:47,2021-01-28 17:46:47,"0,014s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Firefox 84.0,,,2021-01-28 17:46:47,2021-01-28 17:46:47,"0,016s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-28 17:46:47,2021-01-28 17:46:48,"1,294s",PASSED
,,,,,,,
Test Cases/Kontakt/Test Przewijania Strony - Podstrony Kontakt,Firefox 84.0,,,2021-01-28 17:46:48,2021-01-28 17:47:05,"17,031s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-28 17:46:49,2021-01-28 17:46:53,"4,560s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/kontakt/"")",Firefox 84.0,,,2021-01-28 17:46:53,2021-01-28 17:47:02,"8,585s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Akceptuj wszystko""))",Firefox 84.0,,,2021-01-28 17:47:02,2021-01-28 17:47:02,"0,778s",PASSED
"scrollToElement(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia dla Farmacji/img_Uczestniczka webinaru_preload-me""), 0)",Firefox 84.0,,,2021-01-28 17:47:02,2021-01-28 17:47:03,"0,948s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/a_Do gry""))",Firefox 84.0,,,2021-01-28 17:47:03,2021-01-28 17:47:04,"0,680s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-28 17:47:04,2021-01-28 17:47:05,"1,137s",PASSED
,,,,,,,
Test Cases/Kontakt/Test Przycisków - Podstrona Kontakt,Firefox 84.0,,,2021-01-28 17:47:05,2021-01-28 17:47:06,"0,334s",PASSED
return null,Firefox 84.0,,,2021-01-28 17:47:06,2021-01-28 17:47:06,"0,001s",PASSED
