Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Strona Główna,Firefox 84.0,,,2021-01-27 14:18:33,2021-01-27 14:21:24,"2m - 50,811s",PASSED
,,,,,,,
Test Cases/Strona Główna/Test Nawigacji,Firefox 84.0,,,2021-01-27 14:18:36,2021-01-27 14:19:26,"49,764s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-27 14:18:37,2021-01-27 14:18:49,"11,730s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-27 14:18:49,2021-01-27 14:18:55,"6,491s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Firefox 84.0,,,2021-01-27 14:18:55,2021-01-27 14:19:01,"5,457s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Firefox 84.0,,,2021-01-27 14:19:01,2021-01-27 14:19:04,"3,588s",PASSED
"verifyElementText(findTestObject(""Spy - Podstrona Aktualności/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/h1_Aktualnoci""), ""Aktualności"")",Firefox 84.0,,,2021-01-27 14:19:04,2021-01-27 14:19:06,"1,642s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Firefox 84.0,,,2021-01-27 14:19:06,2021-01-27 14:19:10,"4,038s",PASSED
"verifyElementText(findTestObject(""Spy - Nagłówki Podstron/Page_Artykuy - Aptekarska Szkoa Zarzdzania/h1_Artykuy""), ""Artykuły"")",Firefox 84.0,,,2021-01-27 14:19:10,2021-01-27 14:19:12,"1,410s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Firefox 84.0,,,2021-01-27 14:19:12,2021-01-27 14:19:15,"3,647s",PASSED
"verifyElementText(findTestObject(""Spy - Nagłówki Podstron/Page_O nas - Aptekarska Szkoa Zarzdzania/h1_O nas""), ""O nas"")",Firefox 84.0,,,2021-01-27 14:19:15,2021-01-27 14:19:17,"1,851s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_O nas - Aptekarska Szkoa Zarzdzania/span_Kontakt""))",Firefox 84.0,,,2021-01-27 14:19:17,2021-01-27 14:19:20,"3,301s",PASSED
"verifyElementText(findTestObject(""Spy - Nagłówki Podstron/Page_Kontakt - Aptekarska Szkoa Zarzdzania/h1_Kontakt""), ""Kontakt"")",Firefox 84.0,,,2021-01-27 14:19:20,2021-01-27 14:19:21,"0,561s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Firefox 84.0,,,2021-01-27 14:19:21,2021-01-27 14:19:24,"2,824s",PASSED
getUrl(),Firefox 84.0,,,2021-01-27 14:19:24,2021-01-27 14:19:24,"0,055s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Firefox 84.0,,,2021-01-27 14:19:24,2021-01-27 14:19:24,"0,103s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-27 14:19:24,2021-01-27 14:19:26,"2,014s",PASSED
,,,,,,,
Test Cases/Strona Główna/Test Przewijania Strony,Firefox 84.0,,,2021-01-27 14:19:26,2021-01-27 14:19:49,"22,670s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-27 14:19:27,2021-01-27 14:19:33,"6,300s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-27 14:19:33,2021-01-27 14:19:40,"6,704s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Akceptuj wszystko""))",Firefox 84.0,,,2021-01-27 14:19:40,2021-01-27 14:19:45,"5,257s",PASSED
"scrollToElement(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia dla Farmacji/img_Uczestniczka webinaru_preload-me""), 0)",Firefox 84.0,,,2021-01-27 14:19:45,2021-01-27 14:19:45,"0,674s",PASSED
