Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kontakt,Chrome 88.0.4324.104,,,2021-01-28 16:19:28,2021-01-28 16:20:12,"43,851s",PASSED
,,,,,,,
Test Cases/Kontakt/Test Nawigacji - Podstrony Kontakt,Chrome 88.0.4324.104,,,2021-01-28 16:19:30,2021-01-28 16:20:00,"30,012s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-28 16:19:31,2021-01-28 16:19:36,"5,006s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-28 16:19:36,2021-01-28 16:19:39,"2,158s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/kontakt/"")",Chrome 88.0.4324.104,,,2021-01-28 16:19:39,2021-01-28 16:19:42,"3,290s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-28 16:19:42,2021-01-28 16:19:42,"0,641s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Chrome 88.0.4324.104,,,2021-01-28 16:19:42,2021-01-28 16:19:47,"4,731s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 16:19:47,2021-01-28 16:19:47,"0,058s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Chrome 88.0.4324.104,,,2021-01-28 16:19:47,2021-01-28 16:19:47,"0,061s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Chrome 88.0.4324.104,,,2021-01-28 16:19:47,2021-01-28 16:19:50,"2,993s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 16:19:50,2021-01-28 16:19:50,"0,069s",PASSED
