Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Strona Główna,Chrome 88.0.4324.104,,,2021-01-27 14:16:54,2021-01-27 14:18:25,"1m - 30,652s",FAILED
,,,,,,,
Test Cases/Strona Główna/Test Nawigacji,Chrome 88.0.4324.104,,,2021-01-27 14:16:57,2021-01-27 14:17:16,"18,728s",FAILED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-27 14:16:59,2021-01-27 14:17:05,"6,605s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Chrome 88.0.4324.104,,,2021-01-27 14:17:05,2021-01-27 14:17:10,"5,230s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-27 14:17:10,2021-01-27 14:17:14,"3,296s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Chrome 88.0.4324.104,,,2021-01-27 14:17:14,2021-01-27 14:17:16,"1,822s",FAILED
,,,,,,,
Test Cases/Strona Główna/Test Przewijania Strony,Chrome 88.0.4324.104,,,2021-01-27 14:17:16,2021-01-27 14:17:33,"17,360s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-27 14:17:17,2021-01-27 14:17:21,"4,819s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Chrome 88.0.4324.104,,,2021-01-27 14:17:21,2021-01-27 14:17:27,"5,680s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Akceptuj wszystko""))",Chrome 88.0.4324.104,,,2021-01-27 14:17:27,2021-01-27 14:17:30,"2,753s",PASSED
"scrollToElement(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia dla Farmacji/img_Uczestniczka webinaru_preload-me""), 0)",Chrome 88.0.4324.104,,,2021-01-27 14:17:30,2021-01-27 14:17:31,"0,846s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/a_Do gry""))",Chrome 88.0.4324.104,,,2021-01-27 14:17:31,2021-01-27 14:17:31,"0,704s",PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-27 14:17:31,2021-01-27 14:17:33,"1,559s",PASSED
,,,,,,,
Test Cases/Strona Główna/Test Przycisków,Chrome 88.0.4324.104,,,2021-01-27 14:17:33,2021-01-27 14:18:25,"52,021s",FAILED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-27 14:17:34,2021-01-27 14:17:37,"3,671s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Chrome 88.0.4324.104,,,2021-01-27 14:17:37,2021-01-27 14:17:43,"5,109s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-27 14:17:43,2021-01-27 14:17:46,"3,061s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przyciski/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/a_Wicej o nas""))",Chrome 88.0.4324.104,,,2021-01-27 14:17:46,2021-01-27 14:17:51,"5,550s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-27 14:17:51,2021-01-27 14:17:51,"0,156s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-27 14:17:51,2021-01-27 14:17:51,"0,136s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przyciski/Page_O nas - Aptekarska Szkoa Zarzdzania/span_Strona gwna""))",Chrome 88.0.4324.104,,,2021-01-27 14:17:51,2021-01-27 14:17:56,"4,354s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przyciski/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/a_Wszystkie aktualnoci""))",Chrome 88.0.4324.104,,,2021-01-27 14:17:56,2021-01-27 14:18:05,"9,006s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-27 14:18:05,2021-01-27 14:18:05,"0,028s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Chrome 88.0.4324.104,,,2021-01-27 14:18:05,2021-01-27 14:18:05,"0,037s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przyciski/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Strona gwna""))",Chrome 88.0.4324.104,,,2021-01-27 14:18:05,2021-01-27 14:18:09,"4,142s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przyciski/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/a_Wszystkie artykuy""))",Chrome 88.0.4324.104,,,2021-01-27 14:18:09,2021-01-27 14:18:17,"7,795s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-27 14:18:17,2021-01-27 14:18:17,"0,022s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Chrome 88.0.4324.104,,,2021-01-27 14:18:17,2021-01-27 14:18:17,"0,028s",PASSED
