Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Strona Główna,Firefox 84.0,,,2021-01-27 15:45:58,2021-01-27 15:48:16,"2m - 17,793s",PASSED
,,,,,,,
Test Cases/Strona Główna/Test Nawigacji,Firefox 84.0,,,2021-01-27 15:46:00,2021-01-27 15:46:36,"36,266s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-27 15:46:01,2021-01-27 15:46:07,"6,420s",PASSED
maximizeWindow(),Firefox 84.0,,,2021-01-27 15:46:07,2021-01-27 15:46:07,"0,309s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-27 15:46:07,2021-01-27 15:46:12,"4,267s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Firefox 84.0,,,2021-01-27 15:46:12,2021-01-27 15:46:16,"4,217s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Firefox 84.0,,,2021-01-27 15:46:16,2021-01-27 15:46:19,"3,203s",PASSED
getUrl(),Firefox 84.0,,,2021-01-27 15:46:19,2021-01-27 15:46:19,"0,169s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Firefox 84.0,,,2021-01-27 15:46:19,2021-01-27 15:46:19,"0,095s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Firefox 84.0,,,2021-01-27 15:46:19,2021-01-27 15:46:24,"5,157s",PASSED
getUrl(),Firefox 84.0,,,2021-01-27 15:46:24,2021-01-27 15:46:25,"0,151s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Firefox 84.0,,,2021-01-27 15:46:25,2021-01-27 15:46:25,"0,059s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Firefox 84.0,,,2021-01-27 15:46:25,2021-01-27 15:46:28,"3,604s",PASSED
getUrl(),Firefox 84.0,,,2021-01-27 15:46:28,2021-01-27 15:46:28,"0,040s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Firefox 84.0,,,2021-01-27 15:46:28,2021-01-27 15:46:28,"0,070s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_O nas - Aptekarska Szkoa Zarzdzania/span_Kontakt""))",Firefox 84.0,,,2021-01-27 15:46:28,2021-01-27 15:46:32,"3,900s",PASSED
getUrl(),Firefox 84.0,,,2021-01-27 15:46:32,2021-01-27 15:46:32,"0,114s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/kontakt/"")",Firefox 84.0,,,2021-01-27 15:46:32,2021-01-27 15:46:32,"0,074s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Firefox 84.0,,,2021-01-27 15:46:32,2021-01-27 15:46:35,"2,206s",PASSED
getUrl(),Firefox 84.0,,,2021-01-27 15:46:35,2021-01-27 15:46:35,"0,016s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Firefox 84.0,,,2021-01-27 15:46:35,2021-01-27 15:46:35,"0,017s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-27 15:46:35,2021-01-27 15:46:36,"1,314s",PASSED
,,,,,,,
Test Cases/Strona Główna/Test Przewijania Strony,Firefox 84.0,,,2021-01-27 15:46:36,2021-01-27 15:46:54,"17,856s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-27 15:46:36,2021-01-27 15:46:42,"5,056s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/"")",Firefox 84.0,,,2021-01-27 15:46:42,2021-01-27 15:46:45,"3,892s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Przewijanie/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Akceptuj wszystko""))",Firefox 84.0,,,2021-01-27 15:46:45,2021-01-27 15:46:50,"4,840s",PASSED
