Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kontakt,Chrome 88.0.4324.104,,,2021-01-28 16:28:02,2021-01-28 16:28:47,"45,110s",PASSED
,,,,,,,
Test Cases/Kontakt/Test Nawigacji - Podstrony Kontakt,Chrome 88.0.4324.104,,,2021-01-28 16:28:04,2021-01-28 16:28:36,"32,530s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-28 16:28:05,2021-01-28 16:28:10,"4,999s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-28 16:28:10,2021-01-28 16:28:12,"2,176s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/kontakt/"")",Chrome 88.0.4324.104,,,2021-01-28 16:28:12,2021-01-28 16:28:16,"4,047s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-28 16:28:16,2021-01-28 16:28:17,"0,680s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Chrome 88.0.4324.104,,,2021-01-28 16:28:17,2021-01-28 16:28:21,"4,584s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 16:28:21,2021-01-28 16:28:21,"0,110s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/aktualnosci/"")",Chrome 88.0.4324.104,,,2021-01-28 16:28:21,2021-01-28 16:28:21,"0,090s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Chrome 88.0.4324.104,,,2021-01-28 16:28:21,2021-01-28 16:28:26,"4,380s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 16:28:26,2021-01-28 16:28:26,"0,028s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Chrome 88.0.4324.104,,,2021-01-28 16:28:26,2021-01-28 16:28:26,"0,064s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Chrome 88.0.4324.104,,,2021-01-28 16:28:26,2021-01-28 16:28:30,"3,744s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 16:28:30,2021-01-28 16:28:30,"0,049s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-28 16:28:30,2021-01-28 16:28:30,"0,026s",PASSED
"click(findTestObject(""SPY - NAWIGACJA STRONA GŁOWNA BUTTON/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/img_Szkolenia cige dla farmaceutw, farmacji, farmaceutyczne  Aptekarska.pl_preload-me""))",Chrome 88.0.4324.104,,,2021-01-28 16:28:30,2021-01-28 16:28:33,"3,696s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 16:28:33,2021-01-28 16:28:33,"0,041s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/"")",Chrome 88.0.4324.104,,,2021-01-28 16:28:33,2021-01-28 16:28:33,"0,019s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Oferta""))",Chrome 88.0.4324.104,,,2021-01-28 16:28:33,2021-01-28 16:28:35,"2,077s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 16:28:35,2021-01-28 16:28:36,"0,023s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/"")",Chrome 88.0.4324.104,,,2021-01-28 16:28:36,2021-01-28 16:28:36,"0,029s",PASSED
closeBrowser(),Chrome 88.0.4324.104,,,2021-01-28 16:28:36,2021-01-28 16:28:36,"0,893s",PASSED
,,,,,,,
