Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
O nas,Firefox 84.0,,,2021-01-28 15:59:44,2021-01-28 16:04:03,"4m - 18,332s",FAILED
,,,,,,,
Test Cases/O nas/TEMP,Firefox 84.0,,,2021-01-28 15:59:46,2021-01-28 16:00:38,"51,610s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-28 15:59:47,2021-01-28 15:59:53,"6,359s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/o-nas/marta-balazinska/"")",Firefox 84.0,,,2021-01-28 15:59:53,2021-01-28 15:59:58,"4,666s",PASSED
"click(findTestObject(""Object Repository/TEMP/Page_Marta Baaziska - Aptekarska Szkoa Zarzdzania/button_Nie zgadzam si""))",Firefox 84.0,,,2021-01-28 15:59:58,2021-01-28 15:59:59,"0,980s",PASSED
"click(findTestObject(""Object Repository/TEMP/Page_Marta Baaziska - Aptekarska Szkoa Zarzdzania/i""))",Firefox 84.0,,,2021-01-28 15:59:59,2021-01-28 16:00:04,"5,274s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-28 16:00:04,2021-01-28 16:00:06,"1,215s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-28 16:00:06,2021-01-28 16:00:11,"5,133s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/o-nas/marta-balazinska/"")",Firefox 84.0,,,2021-01-28 16:00:11,2021-01-28 16:00:17,"5,914s",PASSED
"click(findTestObject(""Object Repository/TEMP/Page_Marta Baaziska - Aptekarska Szkoa Zarzdzania/button_Nie zgadzam si""))",Firefox 84.0,,,2021-01-28 16:00:17,2021-01-28 16:00:18,"0,844s",PASSED
"click(findTestObject(""Object Repository/TEMP/Page_Marta Baaziska - Aptekarska Szkoa Zarzdzania/i""))",Firefox 84.0,,,2021-01-28 16:00:18,2021-01-28 16:00:21,"3,872s",PASSED
closeBrowser(),Firefox 84.0,,,2021-01-28 16:00:21,2021-01-28 16:00:23,"1,176s",PASSED
"openBrowser("""")",Firefox 84.0,,,2021-01-28 16:00:23,2021-01-28 16:00:28,"5,071s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/o-nas/marta-balazinska/"")",Firefox 84.0,,,2021-01-28 16:00:28,2021-01-28 16:00:32,"4,193s",PASSED
"click(findTestObject(""Object Repository/TEMP/Page_Marta Baaziska - Aptekarska Szkoa Zarzdzania/button_Nie zgadzam si""))",Firefox 84.0,,,2021-01-28 16:00:32,2021-01-28 16:00:33,"0,821s",PASSED
"click(findTestObject(""Object Repository/TEMP/Page_Marta Baaziska - Aptekarska Szkoa Zarzdzania/i""))",Firefox 84.0,,,2021-01-28 16:00:33,2021-01-28 16:00:37,"3,913s",PASSED
