Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Oferta,Chrome 88.0.4324.104,,,2021-01-29 17:24:54,2021-01-29 17:27:49,"2m - 55,161s",FAILED
,,,,,,,
Test Cases/Oferta/Test Nawigacji - Podstrony Oferta,Chrome 88.0.4324.104,,,2021-01-29 17:24:56,2021-01-29 17:25:18,"22,124s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-29 17:24:57,2021-01-29 17:25:01,"4,680s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/oferta/"")",Chrome 88.0.4324.104,,,2021-01-29 17:25:01,2021-01-29 17:25:04,"2,638s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-29 17:25:04,2021-01-29 17:25:05,"0,707s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/a_Opieka farmaceutyczna""))",Chrome 88.0.4324.104,,,2021-01-29 17:25:05,2021-01-29 17:25:09,"3,883s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:25:09,2021-01-29 17:25:09,"0,035s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/course/index.php?categoryid=6"")",Chrome 88.0.4324.104,,,2021-01-29 17:25:09,2021-01-29 17:25:09,"0,061s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania Wszystkie kursy/a_Zarzdzanie aptek""))",Chrome 88.0.4324.104,,,2021-01-29 17:25:09,2021-01-29 17:25:10,"1,118s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:25:10,2021-01-29 17:25:10,"0,018s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/course/index.php?categoryid=5"")",Chrome 88.0.4324.104,,,2021-01-29 17:25:10,2021-01-29 17:25:10,"0,015s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania Wszystkie kursy/a_Aspekty prawne""))",Chrome 88.0.4324.104,,,2021-01-29 17:25:10,2021-01-29 17:25:11,"1,050s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:25:11,2021-01-29 17:25:11,"0,049s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/course/index.php?categoryid=7"")",Chrome 88.0.4324.104,,,2021-01-29 17:25:11,2021-01-29 17:25:11,"0,025s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania Wszystkie kursy/a_Inne produkty""))",Chrome 88.0.4324.104,,,2021-01-29 17:25:11,2021-01-29 17:25:15,"3,963s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:25:15,2021-01-29 17:25:15,"0,016s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/course/index.php?categoryid=10"")",Chrome 88.0.4324.104,,,2021-01-29 17:25:15,2021-01-29 17:25:15,"0,017s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania Wszystkie kursy/a_Twj koszyk""))",Chrome 88.0.4324.104,,,2021-01-29 17:25:15,2021-01-29 17:25:16,"1,006s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:25:16,2021-01-29 17:25:16,"0,025s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/oferta/blocks/shoppingcart/shopping_cart.php"")",Chrome 88.0.4324.104,,,2021-01-29 17:25:16,2021-01-29 17:25:16,"0,017s",PASSED
"click(findTestObject(""Object Repository/Page_Aptekarska Szkoa Zarzdzania/img_Zaloguj si_site-logo""))",Chrome 88.0.4324.104,,,2021-01-29 17:25:16,2021-01-29 17:25:17,"1,187s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-29 17:25:17,2021-01-29 17:25:17,"0,018s",PASSED
