Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Aktualności,Chrome 88.0.4324.104,,,2021-01-28 15:37:38,2021-01-28 15:39:45,"2m - 7,119s",FAILED
,,,,,,,
Test Cases/Aktualności/Test Nawigacji - Podstrona Aktualności,Chrome 88.0.4324.104,,,2021-01-28 15:37:40,2021-01-28 15:38:13,"33,518s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-28 15:37:41,2021-01-28 15:37:46,"5,107s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-28 15:37:46,2021-01-28 15:37:48,"2,224s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/aktualnosci/"")",Chrome 88.0.4324.104,,,2021-01-28 15:37:48,2021-01-28 15:37:52,"3,876s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-28 15:37:52,2021-01-28 15:37:53,"0,831s",PASSED
"click(findTestObject(""SPY - NAWIGACJA STRONA GŁOWNA BUTTON/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/img_Szkolenia cige dla farmaceutw, farmacji, farmaceutyczne  Aptekarska.pl_preload-me""))",Chrome 88.0.4324.104,,,2021-01-28 15:37:53,2021-01-28 15:37:57,"4,415s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 15:37:57,2021-01-28 15:37:57,"0,054s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/"")",Chrome 88.0.4324.104,,,2021-01-28 15:37:57,2021-01-28 15:37:58,"0,107s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aktualnoci - Aptekarska Szkoa Zarzdzania/span_Artykuy""))",Chrome 88.0.4324.104,,,2021-01-28 15:37:58,2021-01-28 15:38:04,"6,411s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 15:38:04,2021-01-28 15:38:04,"0,022s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/artykuly/"")",Chrome 88.0.4324.104,,,2021-01-28 15:38:04,2021-01-28 15:38:04,"0,096s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Artykuy - Aptekarska Szkoa Zarzdzania/span_O nas""))",Chrome 88.0.4324.104,,,2021-01-28 15:38:04,2021-01-28 15:38:07,"2,960s",PASSED
getUrl(),Chrome 88.0.4324.104,,,2021-01-28 15:38:07,2021-01-28 15:38:07,"0,055s",PASSED
"verifyEqual(getUrl(), ""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-28 15:38:07,2021-01-28 15:38:07,"0,094s",PASSED
