Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
O nas,Chrome 88.0.4324.104,,,2021-01-28 15:56:09,2021-01-28 15:59:38,"3m - 28,865s",FAILED
,,,,,,,
Test Cases/O nas/TEMP,Chrome 88.0.4324.104,,,2021-01-28 15:56:11,2021-01-28 15:56:25,"13,728s",FAILED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-28 15:56:12,2021-01-28 15:56:18,"5,455s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/o-nas/marta-balazinska/"")",Chrome 88.0.4324.104,,,2021-01-28 15:56:18,2021-01-28 15:56:22,"4,062s",PASSED
"click(findTestObject(""Object Repository/TEMP/Page_Marta Baaziska - Aptekarska Szkoa Zarzdzania/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-28 15:56:22,2021-01-28 15:56:22,"0,601s",PASSED
"click(findTestObject(""Object Repository/TEMP/Page_Marta Baaziska - Aptekarska Szkoa Zarzdzania/i""))",Chrome 88.0.4324.104,,,2021-01-28 15:56:22,2021-01-28 15:56:25,"2,594s",FAILED
,,,,,,,
Test Cases/O nas/Test Nawigacji - Podstrona O nas,Chrome 88.0.4324.104,,,2021-01-28 15:56:25,2021-01-28 15:56:55,"30,195s",PASSED
"openBrowser("""")",Chrome 88.0.4324.104,,,2021-01-28 15:56:26,2021-01-28 15:56:30,"4,166s",PASSED
maximizeWindow(),Chrome 88.0.4324.104,,,2021-01-28 15:56:30,2021-01-28 15:56:32,"2,165s",PASSED
"navigateToUrl(""https://www.aptekarska.pl/o-nas/"")",Chrome 88.0.4324.104,,,2021-01-28 15:56:32,2021-01-28 15:56:36,"4,383s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/button_Nie zgadzam si""))",Chrome 88.0.4324.104,,,2021-01-28 15:56:36,2021-01-28 15:56:37,"0,593s",PASSED
"click(findTestObject(""Object Repository/Strona Główna Nawigacja/Page_Aptekarska Szkoa Zarzdzania Szkolenia _8ea30e/span_Aktualnoci""))",Chrome 88.0.4324.104,,,2021-01-28 15:56:37,2021-01-28 15:56:41,"4,055s",PASSED
